Feature,Count,Percentage
VERSIONS_served,13269,4.7055
VERSIONS_storage,13269,4.7055
VERSIONS_schema,12867,4.5629
SCHEMA_openAPIV3Schema,12867,4.5629
OPENAPIV3SCHEMA_type,12866,4.5626
OPENAPIV3SCHEMA_properties,12458,4.4179
CONTAINERS_PORTS_name,12334,4.3739
data,12067,4.2792
rules,11993,4.253
RESOURCES_limits,10348,3.6696
CONTAINERS_imagePullPolicy,10247,3.6338
CUSTOMRESOURCEDEFINITIONSPEC_group,10212,3.6214
CUSTOMRESOURCEDEFINITIONSPEC_names,10212,3.6214
CUSTOMRESOURCEDEFINITIONSPEC_scope,10210,3.6207
CUSTOMRESOURCEDEFINITIONSPEC_versions,9925,3.5196
INITCONTAINERS_CAPABILITIES_drop,9509,3.3721
VERSIONS_subresources,9397,3.3324
OPENAPIV3SCHEMA_description,9256,3.2824
LIMITS_memory,9166,3.2505
LIMITS_cpu,8943,3.1714
ADDITIONALPRINTERCOLUMNS_description,8899,3.1558
SUBRESOURCES_status,8546,3.0306
VERSIONS_additionalPrinterColumns,7764,2.7533
METADATA_generateName,7271,2.5785
METADATA_finalizers,7219,2.56
METADATA_OWNERREFERENCES_apiVersion,7134,2.5299
METADATA_OWNERREFERENCES_kind,7134,2.5299
METADATA_ownerReferences,7112,2.5221
CONTAINERS_PORTS_protocol,7107,2.5203
METADATA_OWNERREFERENCES_name,7084,2.5122
METADATA_OWNERREFERENCES_controller,7055,2.5019
METADATA_OWNERREFERENCES_blockOwnerDeletion,7046,2.4987
METADATA_OWNERREFERENCES_uid,7043,2.4976
METADATA_MANAGEFIELDS_apiversion,7001,2.4827
METADATA_MANAGEFIELDS_manager,7001,2.4827
METADATA_MANAGEFIELDS_operation,7001,2.4827
secretKeyRef,6920,2.454
SECRETKEYREF_name,6919,2.4536
SECRETKEYREF_key,6918,2.4533
METADATA_managedFields,6859,2.4324
METADATA_MANAGEFIELDS_fieldsType,6805,2.4132
METADATA_deletionGracePeriodSeconds,6734,2.388
CONTAINERS_livenessProbe,6714,2.3809
CONTAINERS_command,6596,2.3391
configMapKeyRef,6527,2.3146
CONFIGMAPKEYREF_name,6523,2.3132
CONFIGMAPKEYREF_key,6521,2.3125
INITCONTAINERS_SECURITYCONTEXT_seLinuxOptions,6511,2.309
CONTAINERS_readinessProbe,6263,2.221
DEPLOYMENTSPEC_strategy,6082,2.1568
METADATA_MANAGEFIELDS_subresource,5962,2.1143
METADATA_MANAGEFIELDS_fieldsV1,5719,2.0281
METADATA_MANAGEFIELDS_time,5706,2.0235
CONTAINERS_CAPABILITIES_add,5287,1.8749
LIVENESSPROBE_httpGet,4956,1.7575
LIVENESSPROBE_HTTPGET_port,4956,1.7575
LIVENESSPROBE_HTTPGET_path,4911,1.7416
READINESSPROBE_httpGet,4835,1.7146
READINESSPROBE_HTTPGET_port,4835,1.7146
READINESSPROBE_HTTPGET_path,4798,1.7015
LIVENESSPROBE_initialDelaySeconds,4608,1.6341
type,4383,1.5543
fieldRef,4354,1.544
FIELDREF_fieldPath,4354,1.544
SERVICESPEC_PORTS_nodePort,4226,1.4986
LIVENESSPROBE_periodSeconds,4171,1.4791
READINESSPROBE_periodSeconds,4105,1.4557
STRATEGY_type,4074,1.4447
CONTAINERS_SECURITYCONTEXT_runAsNonRoot,4071,1.4437
CONFIGMAPKEYREF_optional,3846,1.3639
PODSPEC_hostNetwork,3838,1.361
READINESSPROBE_initialDelaySeconds,3787,1.343
OPENAPIV3SCHEMA_required,3457,1.2259
CONTAINERS_SECURITYCONTEXT_seccompProfile,3328,1.1802
CONTAINERS_SECCOMPROFILE_type,3326,1.1795
TEMPLATE_METADATA_annotations,3310,1.1738
CONTAINERS_SECURITYCONTEXT_privileged,3199,1.1344
CONTAINERS_SECURITYCONTEXT_readOnlyRootFilesystem,3081,1.0926
CONTAINERS_PORTS_hostPort,3036,1.0766
LIVENESSPROBE_timeoutSeconds,2908,1.0312
INITCONTAINERS_CAPABILITIES_add,2728,0.9674
RULES_resourceNames,2647,0.9387
LIVENESSPROBE_failureThreshold,2444,0.8667
PODSPEC_affinity,2329,0.8259
CONTAINERS_envFrom,2272,0.8057
CONTAINERS_SECURITYCONTEXT_runAsUser,2241,0.7947
CONTAINERS_SECURITYCONTEXT_windowsOptions,2226,0.7894
INITCONTAINERS_SELINUXOPTIONS_type,2225,0.789
SERVICESPEC_clusterIP,2169,0.7692
INITCONTAINERS_SECURITYCONTEXT_privileged,2145,0.7607
INITCONTAINERS_SECURITYCONTEXT_windowsOptions,2100,0.7447
READINESSPROBE_timeoutSeconds,2071,0.7344
VOLUMEMOUNTS_subPath,2045,0.7252
CONTAINERS_SECURITYCONTEXT_procMount,2001,0.7096
INITCONTAINERS_SECURITYCONTEXT_procMount,1990,0.7057
TEMPLATE_METADATA_name,1987,0.7046
READINESSPROBE_failureThreshold,1943,0.689
CONTAINERS_args,1922,0.6816
PODSPEC_dnsPolicy,1886,0.6688
PODSPEC_hostUsers,1864,0.661
ENVFROM_configMapRef,1806,0.6405
CONFIGMAPREF_name,1800,0.6383
LIVENESSPROBE_HTTPGET_scheme,1671,0.5926
READINESSPROBE_HTTPGET_scheme,1651,0.5855
INITCONTAINERS_SECURITYCONTEXT_seccompProfile,1606,0.5695
INITCONTAINERS_SECCOMPROFILE_type,1606,0.5695
INITCONTAINERS_SECURITYCONTEXT_runAsNonRoot,1527,0.5415
stringData,1457,0.5167
LIVENESSPROBE_successThreshold,1384,0.4908
DEPLOYMENTSPEC_revisionHistoryLimit,1377,0.4883
CONTAINERS_WINDOWSOPTIONS_hostProcess,1362,0.483
READINESSPROBE_successThreshold,1332,0.4724
PODSPEC_hostIPC,1294,0.4589
INITCONTAINERS_WINDOWSOPTIONS_hostProcess,1241,0.4401
AFFINITY_podAntiAffinity,1226,0.4348
AFFINITY_nodeAffinity,1200,0.4255
CONTAINERS_terminationMessagePolicy,1195,0.4238
LIVENESSPROBE_exec,1183,0.4195
LIVENESSPROBE_EXEC_command,1182,0.4192
CONTAINERS_SECURITYCONTEXT_runAsGroup,1141,0.4046
PODSPEC_automountServiceAccountToken,1122,0.3979
ENVFROM_secretRef,1114,0.3951
RULES_nonResourceURLs,1111,0.394
SECRETREF_name,1111,0.394
projected,1038,0.3681
PROJECTED_sources,1038,0.3681
FIELDREF_apiversion,1002,0.3553
READINESSPROBE_exec,990,0.3511
READINESSPROBE_EXEC_command,989,0.3507
CONTAINERS_terminationMessagePath,957,0.3394
DOWNWARDAPI_ITEMS_path,947,0.3358
DOWNWARDAPI_ITEMS_fieldRef,915,0.3245
DOWNWARDAPI_ITEMS_FIELDREF_fieldPath,915,0.3245
CUSTOMRESOURCEDEFINITIONSPEC_conversion,904,0.3206
nfs,877,0.311
NFS_server,877,0.311
NFS_path,877,0.311
SERVICESPEC_sessionAffinity,852,0.3021
downwardAPI,848,0.3007
DOWNWARDAPI_items,848,0.3007
resourceFieldRef,838,0.2972
RESOURCEFIELDREF_resource,838,0.2972
DEPLOYMENTSPEC_minReadySeconds,821,0.2911
CONTAINERS_startupProbe,782,0.2773
SERVICESPEC_PORTS_appProtocol,776,0.2752
RESOURCEFIELDREF_containerName,774,0.2745
LIVENESSPROBE_tcpSocket,763,0.2706
LIVENESSPROBE_TCPSOCKET_port,763,0.2706
iscsi,738,0.2617
ISCSI_iqn,738,0.2617
ISCSI_lun,738,0.2617
ISCSI_targetPortal,738,0.2617
fc,736,0.261
rbd,736,0.261
RBD_image,736,0.261
RBD_monitors,736,0.261
quobyte,735,0.2606
QUOBYTE_registry,735,0.2606
QUOBYTE_volume,735,0.2606
scaleIO,735,0.2606
SCALEIO_gateway,735,0.2606
SCALEIO_secretRef,735,0.2606
SCALEIO_system,735,0.2606
SCALEIO_volumeName,735,0.2606
storageos,735,0.2606
STORAGEOS_volumeName,735,0.2606
flocker,732,0.2596
FLOCKER_datasetName,732,0.2596
FC_wwids,731,0.2592
STARTUPPROBE_periodSeconds,706,0.2504
PODSPEC_nodeName,702,0.2489
CONTAINERS_lifecycle,686,0.2433
LIVENESSPROBE_grpc,682,0.2419
LIVENESSPROBE_GRPC_port,682,0.2419
READINESSPROBE_grpc,672,0.2383
READINESSPROBE_GRPC_port,672,0.2383
AFFINITY_podAffinity,652,0.2312
STARTUPPROBE_failureThreshold,645,0.2287
READINESSPROBE_tcpSocket,640,0.227
READINESSPROBE_TCPSOCKET_port,640,0.227
LIFECYCLE_preStop,632,0.2241
PRESTOP_exec,629,0.2231
PRESTOP_EXEC_command,629,0.2231
INITCONTAINERS_SECURITYCONTEXT_runAsUser,603,0.2138
PODSPEC_enableServiceLinks,582,0.2064
STARTUPPROBE_httpGet,572,0.2028
STARTUPPROBE_HTTPGET_port,572,0.2028
STARTUPPROBE_initialDelaySeconds,571,0.2025
STARTUPPROBE_HTTPGET_path,568,0.2014
DEPLOYMENTSPEC_progressDeadlineSeconds,566,0.2007
CONTAINERS_SECURITYCONTEXT_seLinuxOptions,555,0.1968
INITCONTAINERS_SECCOMPROFILE_localhostProfile,540,0.1915
PROJECTED_SOURCES_configMap,514,0.1823
STARTUPPROBE_timeoutSeconds,493,0.1748
PROJECTED_SOURCES_serviceAccountToken,487,0.1727
INITCONTAINERS_SECURITYCONTEXT_runAsGroup,480,0.1702
LIVENESSPROBE_HTTPGET_httpHeaders,468,0.166
INITCONTAINERS_SECURITYCONTEXT_readOnlyRootFilesystem,462,0.1638
LIVENESSPROBE_HTTPHEADERS_name,460,0.1631
LIVENESSPROBE_HTTPHEADERS_value,460,0.1631
STARTUPPROBE_tcpSocket,448,0.1589
STARTUPPROBE_TCPSOCKET_port,448,0.1589
CONTAINERS_SELINUXOPTIONS_type,438,0.1553
PROJECTED_SOURCES_secret,426,0.1511
STARTUPPROBE_successThreshold,425,0.1507
SECRETKEYREF_optional,422,0.1497
READINESSPROBE_HTTPGET_httpHeaders,415,0.1472
SERVICESPEC_ipFamilies,414,0.1468
INITCONTAINERS_SELINUXOPTIONS_user,413,0.1465
READINESSPROBE_HTTPHEADERS_name,410,0.1454
READINESSPROBE_HTTPHEADERS_value,410,0.1454
TEMPLATE_METADATA_namespace,403,0.1429
SERVICESPEC_ipFamilyPolicy,400,0.1418
PROJECTED_SOURCES_downwardAPI,399,0.1415
PODSPEC_hostname,398,0.1411
PROJECTED_defaultmode,394,0.1397
CONTAINERS_SECCOMPROFILE_localhostProfile,393,0.1394
INITCONTAINERS_SELINUXOPTIONS_role,393,0.1394
INITCONTAINERS_SELINUXOPTIONS_level,389,0.1379
LIVENESSPROBE_HTTPGET_host,382,0.1355
STARTUPPROBE_HTTPGET_scheme,381,0.1351
CONTAINERS_tty,376,0.1333
LIFECYCLE_postStart,373,0.1323
csi,372,0.1319
CSI_driver,372,0.1319
CONTAINERS_workingDir,371,0.1316
POSTSTART_exec,369,0.1309
POSTSTART_EXEC_command,369,0.1309
CSI_readOnly,366,0.1298
CSI_volumeAttributes,355,0.1259
SERVICESPEC_externalTrafficPolicy,354,0.1255
CONTAINERS_stdin,352,0.1248
READINESSPROBE_HTTPGET_host,352,0.1248
STARTUPPROBE_exec,347,0.1231
STARTUPPROBE_EXEC_command,347,0.1231
DOWNWARDAPI_ITEMS_resourceFieldRef,340,0.1206
DOWNWARDAPI_ITEMS_RESOURCEFIELDREF_containerName,340,0.1206
DOWNWARDAPI_ITEMS_RESOURCEFIELDREF_resource,340,0.1206
DOWNWARDAPI_ITEMS_RESOURCEFIELDREF_divisor,340,0.1206
CONFIGMAPREF_optional,330,0.117
PODSPEC_hostPID,327,0.116
SCALEIO_fsType,327,0.116
SCALEIO_SECRETREF_name,327,0.116
NFS_readOnly,324,0.1149
CSI_fsType,323,0.1145
photonPersistentDisk,323,0.1145
PHOTONPERSISTENTDISK_pdID,323,0.1145
VOLUMEMOUNTS_mountPropagation,322,0.1142
STARTUPPROBE_HTTPGET_host,321,0.1138
SECRETREF_optional,318,0.1128
CONTAINERS_SELINUXOPTIONS_user,318,0.1128
RESOURCEFIELDREF_divisor,317,0.1124
ISCSI_fsType,315,0.1117
FC_fsType,313,0.111
FC_lun,313,0.111
FC_targetWWNs,313,0.111
RBD_fsType,313,0.111
RBD_pool,313,0.111
RBD_user,313,0.111
CSI_nodePublichSecretRef,312,0.1106
CSI_NODEPUBLISHSECRETREF_name,312,0.1106
POSTSTART_httpGet,312,0.1106
POSTSTART_HTTPGET_path,312,0.1106
POSTSTART_HTTPGET_port,312,0.1106
CONTAINERS_volumeDevices,312,0.1106
VOLUMEDEVICES_devicePath,312,0.1106
VOLUMEDEVICES_name,312,0.1106
VOLUMEMOUNTS_subPathExpr,312,0.1106
ephemeral,312,0.1106
EPHEMERAL_volumeClaimTemplate,312,0.1106
EPHEMERAL_VOLUMECLAIMTEMPLATE_spec,312,0.1106
ISCSI_portals,312,0.1106
QUOBYTE_group,312,0.1106
QUOBYTE_user,312,0.1106
STORAGEOS_fsType,312,0.1106
PRESTOP_httpGet,311,0.1103
PRESTOP_HTTPGET_path,311,0.1103
PRESTOP_HTTPGET_port,311,0.1103
EPHEMERAL_VOLUMECLAIMTEMPLATE_metadata,311,0.1103
ISCSI_secretRef,311,0.1103
ISCSI_SECRETREF_name,311,0.1103
RBD_keyring,311,0.1103
POSTSTART_HTTPGET_host,310,0.1099
READINESSPROBE_TCPSOCKET_host,310,0.1099
DOWNWARDAPI_ITEMS_FIELDREF_apiVersion,310,0.1099
RBD_secretRef,310,0.1099
RBD_SECRETREF_name,310,0.1099
PRESTOP_HTTPGET_scheme,309,0.1096
PRESTOP_HTTPGET_host,309,0.1096
LIVENESSPROBE_TCPSOCKET_host,309,0.1096
CONTAINERS_PORTS_hostIP,309,0.1096
DOWNWARDAPI_defaultMode,309,0.1096
SCALEIO_protectionDomain,309,0.1096
PODSPEC_activeDeadlineSeconds,308,0.1092
POSTSTART_HTTPGET_httpHeaders,308,0.1092
POSTSTART_HTTPHEADERS_name,308,0.1092
POSTSTART_HTTPHEADERS_value,308,0.1092
PRESTOP_HTTPGET_httpHeaders,308,0.1092
PRESTOP_HTTPHEADERS_name,308,0.1092
PRESTOP_HTTPHEADERS_value,308,0.1092
CONTAINERS_SELINUXOPTIONS_role,308,0.1092
CONTAINERS_WINDOWSOPTIONS_gmsaCredentialSpec,308,0.1092
CONTAINERS_WINDOWSOPTIONS_gmsaCredentialSpecName,308,0.1092
INITCONTAINERS_WINDOWSOPTIONS_gmsaCredentialSpec,308,0.1092
INITCONTAINERS_WINDOWSOPTIONS_gmsaCredentialSpecName,308,0.1092
FLOCKER_datsetUUID,308,0.1092
ISCSI_initiatorName,308,0.1092
ISCSI_iscsiInterface,308,0.1092
PHOTONPERSISTENTDISK_fsType,308,0.1092
QUOBYTE_tenant,308,0.1092
SCALEIO_storageMode,308,0.1092
STORAGEOS_secretRef,308,0.1092
STORAGEOS_SECRETREF_name,308,0.1092
STARTUPPROBE_HTTPHEADERS_name,304,0.1078
STARTUPPROBE_HTTPHEADERS_value,304,0.1078
STARTUPPROBE_HTTPGET_httpHeaders,303,0.1075
CONTAINERS_SELINUXOPTIONS_level,303,0.1075
CONTAINERS_WINDOWSOPTIONS_runAsUserName,303,0.1075
POSTSTART_HTTPGET_scheme,300,0.1064
STARTUPPROBE_TCPSOCKET_host,299,0.106
INITCONTAINERS_WINDOWSOPTIONS_runAsUserName,298,0.1057
FC_readOnly,296,0.105
SELECTOR_matchExpressions,295,0.1046
ISCSI_chapAuthDiscovery,292,0.1036
MATCHEXPRESSIONS_key,290,0.1028
MATCHEXPRESSIONS_operator,290,0.1028
CONTAINERS_stdinOnce,277,0.0982
LIVENESSPROBE_terminationGracePeriodSeconds,272,0.0965
READINESSPROBE_terminationGracePeriodSeconds,271,0.0961
STARTUPPROBE_terminationGracePeriodSeconds,270,0.0957
RBD_readOnly,269,0.0954
STARTUPPROBE_grpc,266,0.0943
STARTUPPROBE_GRPC_port,266,0.0943
SCALEIO_readOnly,262,0.0929
QUOBYTE_readOnly,257,0.0911
SERVICESPEC_externalName,255,0.0904
LIVENESSPROBE_GRPC_service,255,0.0904
READINESSPROBE_GRPC_service,255,0.0904
STARTUPPROBE_GRPC_service,255,0.0904
ISCSI_readOnly,254,0.0901
SCALEIO_sslEnabled,253,0.0897
STORAGEOS_readOnly,253,0.0897
TEMPLATE_METADATA_generateName,251,0.089
RESIZEPOLICY_resourceName,251,0.089
RESIZEPOLICY_restartPolicy,251,0.089
TEMPLATE_METADATA_deletionGracePeriodSeconds,248,0.0879
TEMPLATE_METADATA_finalizers,248,0.0879
ISCSI_chapAuthSession,248,0.0879
MATCHEXPRESSIONS_values,246,0.0872
CONTAINERS_resizePolicy,244,0.0865
SERVICESPEC_publishNotReadyAddresses,243,0.0862
CONTAINERS_restartPolicy,228,0.0809
SUBSETS_addresses,222,0.0787
SUBSETS_PORTS_port,221,0.0784
SUBSETS_ports,220,0.078
DEPLOYMENTSPEC_paused,210,0.0745
subsets,210,0.0745
SUBRESOURCES_scale,206,0.0731
SERVICESPEC_internalTrafficPolicy,171,0.0606
PROJECTED_SOURCES_clusterTrustBundle,171,0.0606
POSTSTART_sleep,165,0.0585
POSTSTART_SLEEP_seconds,165,0.0585
PRESTOP_sleep,165,0.0585
PRESTOP_SLEEP_seconds,165,0.0585
SUBSETS_PORTS_protocol,158,0.056
SUBSETS_PORTS_name,151,0.0535
immutable,140,0.0496
SERVICESPEC_externalIPs,131,0.0465
SERVICESPEC_clusterIPs,109,0.0387
SERVICESPEC_allocateLoadBalancerNodePorts,91,0.0323
VOLUMEMOUNTS_recursiveReadOnly,87,0.0309
CONTAINERS_SECURITYCONTEXT_appArmorProfile,85,0.0301
CONTAINERS_APPARMORPROFILE_localhostProfile,85,0.0301
CONTAINERS_APPARMORPROFILE_type,85,0.0301
INITCONTAINERS_SECURITYCONTEXT_appArmorProfile,85,0.0301
INITCONTAINERS_APPARMORPROFILE_localhostProfile,85,0.0301
INITCONTAINERS_APPARMORPROFILE_type,85,0.0301
binaryData,77,0.0273
ADDITIONALPRINTERCOLUMNS_format,61,0.0216
SERVICESPEC_sessionAffinityConfig,57,0.0202
ADDRESSES_hostname,50,0.0177
SERVICESPEC_healthCheckNodePort,50,0.0177
SERVICESPEC_loadBalancerClass,50,0.0177
ADDRESSES_TARGETREF_apiVersion,49,0.0174
ADDRESSES_TARGETREF_fieldPathm,49,0.0174
SUBSETS_notReadyAddresses,49,0.0174
NOTREADYADDRESSES_hostname,49,0.0174
NOTREADYADDRESSES_ip,49,0.0174
NOTREADYADDRESSES_targetRef,49,0.0174
NOTREADYADDRESSES_TARGETREF_apiVersion,49,0.0174
NOTREADYADDRESSES_TARGETREF_fieldPathm,49,0.0174
NOTREADYADDRESSES_TARGETREF_kind,49,0.0174
NOTREADYADDRESSES_TARGETREF_name,49,0.0174
NOTREADYADDRESSES_TARGETREF_namespace,49,0.0174
NOTREADYADDRESSES_TARGETREF_resourceVersion,49,0.0174
NOTREADYADDRESSES_TARGETREF_uid,49,0.0174
GROUP_autoscaling,36,0.0128
LABELS_key,19,0.0067
ADDITIONALPRINTERCOLUMNS_JSONPath,18,0.0064
LABELS_value,18,0.0064
SERVICESPEC_trafficDistribution,15,0.0053
GROUP_policy,12,0.0043
KIND_Binding,1,0.0004
VOLUMEMOUNTS_readonly,1,0.0004
VOLUMES_type,1,0.0004
RESOURCES_request,1,0.0004
REQUEST_cpu,1,0.0004
REQUEST_memory,1,0.0004
KIND_ServiceAccount,1,0.0004
